time_id,drive_torque,steer_angle
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0.25,0
87,0.5,0
88,0.95,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0.2
108,0,0.4
109,0,0.4
110,0,0.524
111,0,0.524
112,0,0.524
113,0.25,0.524
114,0.5,0.524
115,0,0.524
116,0,0.524
117,0,0.524
118,0,0.524
119,0.25,0.524
120,0.5,0.524
121,0,0
122,0,0
123,0,0
124,0.25,0
125,0.25,0
126,0.5,0
127,0.75,0
128,1,0
129,1,0
130,0,0.2
131,0,0.4
132,0,0.4
133,0,0.524
134,0,0.524
135,0.25,0.524
136,0.5,0.524
137,0.75,0.524
138,0,0.524
139,0,0.524
140,0,0.524
141,0.25,0.524
142,0.5,0.524
143,0.75,0.524
144,1,0.524
145,0,0.524
146,0,0.524
147,0,0
148,0.25,0
149,0.25,0
150,0.5,0
151,0.75,0
152,1,0
153,1,0
154,1,0.2
155,0,0.4
156,0,0.524
157,0,0.524
158,0.25,0.524
159,0.5,0.524
160,0,0.524
161,0,0.524
162,0.45,0.524
163,0.5,0.524
164,0,0.524
165,0,0.524
166,0.2,0.524
167,0.25,0.524
168,0.5,0.524
169,0.75,0.524
170,1,0.524
171,1,0.524
172,0,0.524
173,0,0.524
174,0,0.524
175,0,0.524
176,0,0.524
177,0.25,0.524
178,0.5,0.524
179,0.75,0.524
180,1,0.524
181,1,0.524
182,0.2,0.524
183,0,0.524
184,0,0.524
185,0,0.524
186,0.2,0.524
187,0.25,0.524
188,0.5,0.524
189,0.74,0.524
190,0.95,0.524
191,0.04,0.524
192,0,0.524
193,0,0.524
194,0,0.524
195,0,0.524
196,0.25,0.524
197,0.5,0.524
198,0.001,0.524
199,0,0.021
200,0,0
201,0,0
202,0,0
203,0,0
204,0,-0.198
205,0.25,0
206,0.498,0
207,0.5,0
208,0.748,0
209,1,0
210,1,0
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0.2
217,1,0.002
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0.2
226,1,0.2
227,1,0.4
228,1,0.524
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,1,0
237,1,0
238,1,0
239,1,0
240,1,0
241,1,0
242,1,0
243,1,0
244,1,0
245,1,0
246,1,0
247,1,0
248,1,0
249,1,0
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,0
256,1,0
257,1,0
258,0.2,0.16
259,0,0.2
260,0.2,0.499
261,0.25,0.524
262,0.5,0.524
263,0.5,0.524
264,0.95,0.524
265,1,0.524
266,0,0.524
267,0.24,0.524
268,0.25,0.524
269,0.5,0.524
270,0.75,0.524
271,0,0.524
272,0,0.524
273,0,0.524
274,0.248,0.524
275,0.5,0.524
276,0.5,0.524
277,0.98,0.524
278,1,0.524
279,0,0.524
280,0,0.524
281,0,0.524
282,0.248,0.524
283,0.5,0.524
284,0.748,0.524
285,0.75,0.524
286,1,0.524
287,0,0.524
288,0,0.524
289,0,0.524
290,0,0.524
291,0,0.524
292,0.25,0.524
293,0.5,0.524
294,0.75,0.524
295,0,0.524
296,0,0.524
297,0,0.524
298,0,0.524
299,0.45,0.524
300,0.5,0.524
301,0.15,0.524
302,0,0.524
303,0.2,0.524
304,0.25,0.524
305,0.5,0.524
306,0.5,0.524
307,0.95,0.524
308,1,0.524
309,0,0.524
310,0,0.524
311,0,0.524
312,0,0.524
313,0.2,0.524
314,0.25,0.524
315,0.7,0.524
316,0.75,0.524
317,0,0.524
318,0,0.524
319,0,0.524
320,0,0.524
321,0.25,0.524
322,0.25,0.524
323,0.5,0.524
324,0,0.524
325,0,0.524
326,0,0.524
327,0,0.524
328,0,0.524
329,0,0.524
330,0.45,0.524
331,0.5,0.524
332,0.75,0.524
333,1,0.524
334,0,0.524
335,0,0
336,0,0
337,0,0
338,0.25,0
339,0.5,0
340,0.75,0
341,1,0
342,1,0
343,1,-0.2
344,1,-0.392
345,1,-0.499
346,1,-0.524
347,1,-0.105
348,1,0
349,1,0
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,0
370,1,0
371,1,0
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,1,0
378,1,0
379,1,0
380,1,0
381,1,0
382,1,0
383,1,0
384,1,0
385,1,0.16
386,1,0.2
387,0,0.499
388,0,0.524
389,0,0.524
390,0,0.524
391,0.25,0.524
392,0.25,0.524
393,0.75,0.524
394,0.75,0.524
395,1,0.524
396,1,0.524
397,0,0.524
398,0,0.524
399,0,0.524
400,0.25,0.524
401,0.5,0.524
402,0.5,0.524
403,0.75,0.524
404,1,0.524
405,1,0.524
406,0,0.524
407,0,0.524
408,0.25,0.524
409,0.5,0.524
410,0.5,0.524
411,0.75,0.524
412,1,0.524
413,0,0.524
414,0,0.524
415,0,0.524
416,0.25,0.524
417,0.5,0.524
418,0.5,0.524
419,0.75,0.524
420,0,0.524
421,0,0.524
422,0.25,0.524
423,0.25,0.524
424,0.5,0.524
425,0.75,0.524
426,0,0.524
427,0,0.524
428,0.45,0.524
429,0.5,0.524
430,0.75,0.524
431,1,0.524
432,0,0.524
433,0,0.524
434,0,0.524
435,0,0.524
436,0,0.524
437,0,0.524
438,0.25,0.524
439,0.5,0.524
440,0.5,0.524
441,0.75,0.524
442,0,0.524
443,0,0.524
444,0,0
445,0,0
446,0,0
447,0.24,0
448,0.45,0
449,0.74,0
450,0.75,0
451,1,0
452,1,0
453,1,0.192
